"[""Please translate Font Name", Font Size, Font Style, and Translation Text. If these fields are blank," they are unavailable for translation.""]",,,,
[Category,Object Name,Font Name,Font Size,FontStyle,Original Text,Translation Text,Original Text,Translation Text]
Caption,left_m_h.digits_transp_s14.transp_s_digits_text14,Calibri,16,1,,DT2,,
Caption,left_m_h.digits_transp_s15.transp_s_digits_Name15,Calibri,16,1,ДТ2,,,
Caption,left_m_h.digits_transp_s15.transp_s_digits_text15,Calibri,16,1,,Gas     equipment,,
Caption,left_m_h.Text16,Calibri,22,1,Газовое оборудование,Nitrogen,,
Caption,left_m_h.Text17,Calibri,22,1,Азот,Emergency Stop,,
Caption,left_m_h.Group5.btn_simple_square17.btn_simple_round_caption18,Calibri,16,1,Экстренный стоп,On/Off,,
Caption,left_m_h.Group5.btn_simple_square18.btn_simple_round_caption19,Calibri,16,1,Вкл/Откл,Powering of electric valves ,,
Caption,left_m_h.Text18,Calibri,22,1,Питание клапанов,On/Off,,
Caption,left_m_h.btn_simple_square28.btn_simple_round_caption29,Calibri,16,1,Вкл/Откл,Emergency Stop,,
Caption,left_m_h.btn_simple_square7.btn_simple_round_caption8,Calibri,16,1,Экстренный стоп,Status,,
Caption,left_m_h.digits_transp_s60.transp_s_digits_Name60,Calibri,16,1,Статус,,,
Caption,left_m_h.digits_transp_s60.transp_s_digits_text61,Calibri,16,1,,Gas concentration,,
Caption,left_m_h.digits_transp_s23.transp_s_digits_Name23,Calibri,16,1,Концетрация газа,,,
Caption,left_m_h.digits_transp_s23.transp_s_digits_text24,Calibri,16,1,,Status,,
Caption,left_m_h.digits_transp_s61.transp_s_digits_Name61,Calibri,16,1,Статус,,,
Caption,left_m_h.digits_transp_s61.transp_s_digits_text62,Calibri,16,1,,Status,,
Caption,left_m_h.digits_transp_s62.transp_s_digits_Name62,Calibri,16,1,Статус,,,
Caption,left_m_h.digits_transp_s62.transp_s_digits_text63,Calibri,16,1,,Pressure,,
Caption,left_m_h.digits_transp_s37.transp_s_digits_Name37,Calibri,16,1,Давление,,,
Caption,left_m_h.digits_transp_s37.transp_s_digits_text38,Calibri,16,1,,Incoming Flow,,
Caption,left_m_h.digits_transp_s70.transp_s_digits_Name70,Calibri,16,1,Проток вх,,,
Caption,left_m_h.digits_transp_s70.transp_s_digits_text71,Calibri,16,1,,Outgoing flow,,
Caption,left_m_h.digits_transp_s71.transp_s_digits_Name71,Calibri,16,1,Проток вых,,,
Caption,left_m_h.digits_transp_s71.transp_s_digits_text72,Calibri,16,1,,Outgoing temperature,,
Caption,left_m_h.digits_transp_s72.transp_s_digits_Name72,Calibri,16,1,Температура вых,,,
Caption,left_m_h.digits_transp_s72.transp_s_digits_text73,Calibri,16,1,,Incoming temperature,,
Caption,left_m_h.digits_transp_s73.transp_s_digits_Name73,Calibri,16,1,Температура вх,,,
Caption,left_m_h.digits_transp_s73.transp_s_digits_text74,Calibri,16,1,,Temperature,,
Caption,left_m_h.digits_transp_s74.transp_s_digits_Name74,Calibri,16,1,Температура,,,
Caption,left_m_h.digits_transp_s74.transp_s_digits_text75,Calibri,16,1,,Open,,
Caption,left_m_h.Group26.btn_simple_square33.btn_simple_round_caption34,Calibri,16,1,Откр,Close,,
